,company,company_url,screener url
2137,QFIL,/company/QFIL/,https://www.screener.in/company/QFIL/
2138,NARMADA,/company/NARMADA/,https://www.screener.in/company/NARMADA/
2139,VIKASWSP,/company/VIKASWSP/,https://www.screener.in/company/VIKASWSP/
2140,ESCORTSFIN,/company/ESCORTSFIN/,https://www.screener.in/company/ESCORTSFIN/
2141,TRANSCHEM,/company/TRANSCHEM/,https://www.screener.in/company/TRANSCHEM/
2142,UNIINFO,/company/UNIINFO/consolidated/,https://www.screener.in/company/UNIINFO/consolidated/
2143,RAVALSUGAR,/company/RAVALSUGAR/,https://www.screener.in/company/RAVALSUGAR/
2144,VENLONPOLY,/company/VENLONPOLY/,https://www.screener.in/company/VENLONPOLY/
2145,AGARWALFT,/company/AGARWALFT/,https://www.screener.in/company/AGARWALFT/
2146,NAGREEKCAP,/company/NAGREEKCAP/,https://www.screener.in/company/NAGREEKCAP/
2147,SUMEETINDS,/company/SUMEETINDS/consolidated/,https://www.screener.in/company/SUMEETINDS/consolidated/
2148,INFOMEDIA,/company/INFOMEDIA/,https://www.screener.in/company/INFOMEDIA/
2149,MOXSH,/company/MOXSH/,https://www.screener.in/company/MOXSH/
2150,VIVIDHA,/company/VIVIDHA/,https://www.screener.in/company/VIVIDHA/
2151,RICHA,/company/RICHA/,https://www.screener.in/company/RICHA/
2152,VIKASPROP,/company/VIKASPROP/,https://www.screener.in/company/VIKASPROP/
2153,KHAITANLTD,/company/KHAITANLTD/,https://www.screener.in/company/KHAITANLTD/
2154,CALSOFT,/company/CALSOFT/consolidated/,https://www.screener.in/company/CALSOFT/consolidated/
2155,MINDPOOL,/company/MINDPOOL/consolidated/,https://www.screener.in/company/MINDPOOL/consolidated/
2156,AGUL,/company/AGUL/,https://www.screener.in/company/AGUL/
2157,VIVO,/company/VIVO/,https://www.screener.in/company/VIVO/
2158,RMCL,/company/RMCL/,https://www.screener.in/company/RMCL/
2159,GOENKA,/company/GOENKA/,https://www.screener.in/company/GOENKA/
2160,NKIND,/company/NKIND/,https://www.screener.in/company/NKIND/
2161,HYBRIDFIN,/company/HYBRIDFIN/consolidated/,https://www.screener.in/company/HYBRIDFIN/consolidated/
2162,SILGO,/company/SILGO/,https://www.screener.in/company/SILGO/
2163,WINPRO,/company/WINPRO/,https://www.screener.in/company/WINPRO/
2164,TRIVENSHET,/company/TRIVENSHET/,https://www.screener.in/company/TRIVENSHET/
2165,GRCL,/company/GRCL/,https://www.screener.in/company/GRCL/
2166,PASUPATSPG,/company/PASUPATSPG/,https://www.screener.in/company/PASUPATSPG/
2167,GFSTEELS,/company/GFSTEELS/,https://www.screener.in/company/GFSTEELS/
2168,21STCENMGM,/company/21STCENMGM/consolidated/,https://www.screener.in/company/21STCENMGM/consolidated/
2169,S&SPOWER,/company/S&SPOWER/consolidated/,https://www.screener.in/company/S&SPOWER/consolidated/
2170,BALURTRANS,/company/BALURTRANS/,https://www.screener.in/company/BALURTRANS/
2171,MPTODAY,/company/MPTODAY/,https://www.screener.in/company/MPTODAY/
2172,EDUCOMP,/company/EDUCOMP/,https://www.screener.in/company/EDUCOMP/
2173,ASLIND,/company/ASLIND/,https://www.screener.in/company/ASLIND/
2174,SABAR,/company/SABAR/,https://www.screener.in/company/SABAR/
2175,KRIDHANINF,/company/KRIDHANINF/consolidated/,https://www.screener.in/company/KRIDHANINF/consolidated/
2176,MOHITIND,/company/MOHITIND/consolidated/,https://www.screener.in/company/MOHITIND/consolidated/
2177,MAKS,/company/MAKS/,https://www.screener.in/company/MAKS/
2178,MASKINVEST,/company/MASKINVEST/,https://www.screener.in/company/MASKINVEST/
2179,JETKNIT,/company/JETKNIT/,https://www.screener.in/company/JETKNIT/
2180,ELFORGE,/company/ELFORGE/,https://www.screener.in/company/ELFORGE/
2181,GAYAHWS,/company/GAYAHWS/consolidated/,https://www.screener.in/company/GAYAHWS/consolidated/
2182,TIJARIA,/company/TIJARIA/,https://www.screener.in/company/TIJARIA/
2183,SPYL,/company/SPYL/,https://www.screener.in/company/SPYL/
2184,SHREEKRPOL,/company/SHREEKRPOL/,https://www.screener.in/company/SHREEKRPOL/
2185,RISHIPACK,/company/RISHIPACK/,https://www.screener.in/company/RISHIPACK/
2186,CONTI,/company/CONTI/,https://www.screener.in/company/CONTI/
2187,ORTINLAB,/company/ORTINLAB/,https://www.screener.in/company/ORTINLAB/
2188,MILTONPLAS,/company/MILTONPLAS/,https://www.screener.in/company/MILTONPLAS/
2189,PERFECT,/company/PERFECT/,https://www.screener.in/company/PERFECT/
2190,KAUSHALYA,/company/KAUSHALYA/consolidated/,https://www.screener.in/company/KAUSHALYA/consolidated/
2191,JUMBO,/company/JUMBO/,https://www.screener.in/company/JUMBO/
2192,KAVVERITEL,/company/KAVVERITEL/consolidated/,https://www.screener.in/company/KAVVERITEL/consolidated/
2193,SHANTI,/company/SHANTI/consolidated/,https://www.screener.in/company/SHANTI/consolidated/
2194,ORIENTALTL,/company/ORIENTALTL/,https://www.screener.in/company/ORIENTALTL/
2195,ZODJRDMKJ,/company/ZODJRDMKJ/,https://www.screener.in/company/ZODJRDMKJ/
2196,MADSUDIND,/company/MADSUDIND/,https://www.screener.in/company/MADSUDIND/
2197,ISHAN,/company/ISHAN/,https://www.screener.in/company/ISHAN/
2198,KJMCFIN,/company/KJMCFIN/consolidated/,https://www.screener.in/company/KJMCFIN/consolidated/
2199,NATNLSTEEL,/company/NATNLSTEEL/,https://www.screener.in/company/NATNLSTEEL/
2200,PRAGBOSIMI,/company/PRAGBOSIMI/consolidated/,https://www.screener.in/company/PRAGBOSIMI/consolidated/
2201,GUJRAFFIA,/company/GUJRAFFIA/,https://www.screener.in/company/GUJRAFFIA/
2202,KANDARP,/company/KANDARP/,https://www.screener.in/company/KANDARP/
2203,ONELIFECAP,/company/ONELIFECAP/consolidated/,https://www.screener.in/company/ONELIFECAP/consolidated/
2204,FELDVR,/company/FELDVR/consolidated/,https://www.screener.in/company/FELDVR/consolidated/
2205,SILLYMONKS,/company/SILLYMONKS/consolidated/,https://www.screener.in/company/SILLYMONKS/consolidated/
2206,EASTSILK,/company/EASTSILK/,https://www.screener.in/company/EASTSILK/
2207,OMKARCHEM,/company/OMKARCHEM/,https://www.screener.in/company/OMKARCHEM/
2208,CMICABLES,/company/CMICABLES/,https://www.screener.in/company/CMICABLES/
2209,SPRL,/company/SPRL/,https://www.screener.in/company/SPRL/
2210,VIJIFIN,/company/VIJIFIN/,https://www.screener.in/company/VIJIFIN/
2211,AILIMITED,/company/AILIMITED/,https://www.screener.in/company/AILIMITED/
2212,STANDRDBAT,/company/STANDRDBAT/,https://www.screener.in/company/STANDRDBAT/
2213,MIDINDIA,/company/MIDINDIA/,https://www.screener.in/company/MIDINDIA/
2214,TRANSFREIT,/company/TRANSFREIT/,https://www.screener.in/company/TRANSFREIT/
2215,AMIABLE,/company/AMIABLE/,https://www.screener.in/company/AMIABLE/
2216,SMVD,/company/SMVD/consolidated/,https://www.screener.in/company/SMVD/consolidated/
2217,ROYALCUSHN,/company/ROYALCUSHN/,https://www.screener.in/company/ROYALCUSHN/
2218,LYPSAGEMS,/company/LYPSAGEMS/,https://www.screener.in/company/LYPSAGEMS/
2219,MANAV,/company/MANAV/,https://www.screener.in/company/MANAV/
2220,BODHTREE,/company/BODHTREE/,https://www.screener.in/company/BODHTREE/
2221,SUPREMEENG,/company/SUPREMEENG/,https://www.screener.in/company/SUPREMEENG/
2222,GTNTEX,/company/GTNTEX/consolidated/,https://www.screener.in/company/GTNTEX/consolidated/
2223,JAKHARIA,/company/JAKHARIA/,https://www.screener.in/company/JAKHARIA/
2224,BRIGHT,/company/BRIGHT/,https://www.screener.in/company/BRIGHT/
2225,TECHIN,/company/TECHIN/,https://www.screener.in/company/TECHIN/
2226,MATHPLATT,/company/MATHPLATT/,https://www.screener.in/company/MATHPLATT/
2227,JALAN,/company/JALAN/,https://www.screener.in/company/JALAN/
2228,EUROTEXIND,/company/EUROTEXIND/,https://www.screener.in/company/EUROTEXIND/
2229,METALFORGE,/company/METALFORGE/,https://www.screener.in/company/METALFORGE/
2230,ARENTERP,/company/ARENTERP/,https://www.screener.in/company/ARENTERP/
2231,ACCORD,/company/ACCORD/,https://www.screener.in/company/ACCORD/
2232,VICEROY,/company/VICEROY/consolidated/,https://www.screener.in/company/VICEROY/consolidated/
2233,SETUINFRA,/company/SETUINFRA/consolidated/,https://www.screener.in/company/SETUINFRA/consolidated/
2234,KCK,/company/KCK/,https://www.screener.in/company/KCK/
2235,PBAINFRA,/company/PBAINFRA/,https://www.screener.in/company/PBAINFRA/
2236,SPENTEX,/company/SPENTEX/consolidated/,https://www.screener.in/company/SPENTEX/consolidated/
